FECHA,ATE,SBJ,CDM,STA,VMT,HCH,SJL,SMP,CRB,PPD
1/1/2015 0:00,S/D,575,266.7,551.7,495.3,479.4,S/D,220.1,S/D,947.8
1/1/2015 1:00,S/D,230,211.3,533.9,953.6,436.8,S/D,276.7,S/D,673.7
1/1/2015 2:00,S/D,345,209.6,495,731.2,442.3,S/D,204.2,S/D,685.5
1/1/2015 3:00,S/D,345,188.3,442.7,447.6,390.2,S/D,200.2,S/D,574.7
1/1/2015 4:00,S/D,230,155.4,344.7,334.5,304.2,S/D,180,S/D,459.2
1/1/2015 5:00,S/D,230,188.3,277.3,359.3,221.5,S/D,198.5,S/D,372
1/1/2015 6:00,S/D,230,318.7,371,424.8,318.9,S/D,250.2,S/D,320.4
1/1/2015 7:00,S/D,230,380.5,636.2,468,242.9,S/D,355.5,S/D,346
1/1/2015 8:00,S/D,345,433.1,658.5,455.7,391.8,S/D,426.9,S/D,469.3
1/1/2015 9:00,S/D,345,285.7,630.1,362.1,525.8,S/D,367.4,S/D,454.1
1/1/2015 10:00,S/D,230,129.5,346.5,233.1,689.5,S/D,188.3,S/D,470.6
1/1/2015 11:00,S/D,230,97.6,217.2,239.5,322.8,S/D,94.8,S/D,333.4
1/1/2015 12:00,S/D,230,94.2,206,215,216.7,S/D,97.4,S/D,350.2
1/1/2015 13:00,S/D,230,118.7,211.4,198,159.6,S/D,85.3,S/D,473.3
1/1/2015 14:00,S/D,230,139.5,198.4,226.4,92.5,S/D,102.5,S/D,337.8
1/1/2015 15:00,S/D,345,148,203.7,249.3,134.5,S/D,101.2,S/D,291.4
1/1/2015 16:00,S/D,345,152.3,255.5,257.1,179.7,S/D,115.3,S/D,264.5
1/1/2015 17:00,S/D,345,161.6,245.2,288,169.6,S/D,126.5,S/D,287.8
1/1/2015 18:00,S/D,345,177.3,270.6,268.2,149.6,S/D,145.7,S/D,573.7
1/1/2015 19:00,S/D,345,275.5,402.4,282.3,210,S/D,207.1,S/D,676
1/1/2015 20:00,S/D,345,312,448.4,345.8,317.2,S/D,235.6,S/D,785.4
1/1/2015 21:00,S/D,460,348.8,483.1,470.7,310.5,S/D,304.1,S/D,872
1/1/2015 22:00,S/D,460,356.3,559.9,413.8,315.7,S/D,289.9,S/D,766.5
1/1/2015 23:00,S/D,345,283.5,561.5,287.8,516.1,S/D,222.3,S/D,731.4
1/2/2015 0:00,S/D,230,206.5,331.2,179.4,324,S/D,150.5,S/D,422.4
1/2/2015 1:00,S/D,230,130.8,222.5,138.9,187.2,S/D,132.9,S/D,420.1
1/2/2015 2:00,S/D,115,119.6,168.1,97.2,150.2,S/D,89.2,S/D,324
