FECHA,HORA,TEMPERATURA MEDIA (°C),HUMEDAD RELATIVA (%),PRECIPITACION (mm),VELOCIDAD_VIENTO(m/s),DIRECCIÓN_VIENTO (°),RADIACIÓN SOLAR TOTAL (Wh/m²)
9/19/2016,13:00:00,21.1,66.7,S/D,2.7,247,1871.1
9/19/2016,14:00:00,22.6,62.9,S/D,1.3,174,2446.4
9/19/2016,15:00:00,20.9,67.9,S/D,2.3,242,1838.4
9/19/2016,16:00:00,20.4,68.8,S/D,1.7,232,197.8
9/19/2016,17:00:00,18.5,76.3,S/D,1.6,230,642.8
9/19/2016,18:00:00,16.9,85.7,S/D,1.6,244,186.0
9/19/2016,19:00:00,16.4,88.1,S/D,1.6,243,1.5
9/19/2016,20:00:00,16.3,88.2,S/D,0.9,231,0.0
9/19/2016,21:00:00,17.0,85.7,S/D,0.9,244,0.0
9/19/2016,22:00:00,15.9,91.2,S/D,1.6,239,0.0
9/19/2016,23:00:00,15.5,94.4,S/D,1.2,241,0.0
9/20/2016,0:00:00,15.3,94.3,S/D,0.5,238,0.0
9/20/2016,1:00:00,15.2,95.1,S/D,0.7,268,0.0
9/20/2016,2:00:00,14.7,98.3,S/D,0.7,224,0.0
9/20/2016,3:00:00,14.7,98.2,S/D,0.4,226,0.0
9/20/2016,4:00:00,14.4,99.0,S/D,0.7,252,0.0
9/20/2016,5:00:00,14.4,99.2,S/D,0.9,242,0.0
9/20/2016,6:00:00,14.4,99.1,S/D,0.9,254,0.2
9/20/2016,7:00:00,14.4,99.2,S/D,0.8,220,32.9
9/20/2016,8:00:00,14.9,98.3,S/D,0.5,206,198.4
9/20/2016,9:00:00,16.7,89.9,S/D,1.0,263,605.4
9/20/2016,10:00:00,18.9,77.9,S/D,1.4,233,1940.9
9/20/2016,11:00:00,20.1,74.4,0.0,2.4,243,2724.9
9/20/2016,12:00:00,20.1,72.6,S/D,2.4,240,3150.6
9/20/2016,13:00:00,20.0,72.8,S/D,2.6,238,3213.2
9/20/2016,14:00:00,19.8,72.3,S/D,2.4,241,2935.8
9/20/2016,15:00:00,19.6,72.7,S/D,2.1,253,2376.7
9/20/2016,16:00:00,18.7,77.6,S/D,1.9,250,1676.1
9/20/2016,17:00:00,17.3,82.3,S/D,2.2,235,828.7
9/20/2016,18:00:00,16.7,84.9,S/D,1.3,229,191.7
9/20/2016,19:00:00,16.5,86.4,S/D,1.3,240,1.0
9/20/2016,20:00:00,16.3,87.1,S/D,0.8,250,0.0
9/20/2016,21:00:00,15.9,89.6,S/D,1.5,245,0.0
9/20/2016,22:00:00,15.6,90.8,S/D,0.9,238,0.0
9/20/2016,23:00:00,15.8,89.7,S/D,0.8,232,0.0
9/21/2016,0:00:00,15.5,91.4,S/D,0.1,210,0.0
9/21/2016,1:00:00,15.6,91.4,S/D,1.1,244,0.0
9/21/2016,2:00:00,15.3,93.7,S/D,0.6,222,0.0
9/21/2016,3:00:00,15.5,92.3,S/D,0.9,297,0.0
9/21/2016,4:00:00,15.5,93.3,S/D,0.8,235,0.0
9/21/2016,5:00:00,15.3,93.8,S/D,0.6,233,0.0
9/21/2016,6:00:00,15.3,93.8,S/D,1.0,222,0.2
9/21/2016,7:00:00,15.5,92.5,S/D,0.6,213,39.2
9/21/2016,8:00:00,15.8,91.9,S/D,0.5,221,186.9
9/21/2016,9:00:00,17.0,85.8,S/D,1.3,299,772.8
9/21/2016,10:00:00,18.5,78.5,S/D,1.7,221,2117.7
9/21/2016,11:00:00,18.6,79.9,0.0,2.5,239,2684.8
9/21/2016,12:00:00,18.1,80.9,S/D,2.9,254,3131.8
9/21/2016,13:00:00,18.8,77.6,S/D,2.1,231,3170.9
9/21/2016,14:00:00,18.5,75.7,S/D,2.3,244,2961.1
9/21/2016,15:00:00,18.4,77.6,S/D,2.0,244,2457.3
9/21/2016,16:00:00,17.8,81.9,S/D,2.1,249,1683.6
9/21/2016,17:00:00,15.7,88.6,S/D,1.7,231,624.2
9/21/2016,18:00:00,15.7,89.6,S/D,1.0,271,106.4
9/21/2016,19:00:00,15.8,89.3,S/D,0.7,246,0.8
9/21/2016,20:00:00,15.5,92.2,S/D,1.1,241,0.0
9/21/2016,21:00:00,15.2,93.2,S/D,1.0,223,0.0
9/21/2016,22:00:00,15.2,92.7,S/D,0.6,227,0.0
9/21/2016,23:00:00,14.9,95.5,S/D,0.8,242,0.0
9/22/2016,0:00:00,14.9,95.0,S/D,1.1,239,0.0
9/22/2016,1:00:00,14.9,94.5,S/D,0.5,256,0.0
9/22/2016,2:00:00,15.0,94.1,S/D,0.4,227,0.0
9/22/2016,3:00:00,15.3,92.7,S/D,0.4,251,0.0
9/22/2016,4:00:00,15.0,93.6,S/D,0.5,222,0.0
9/22/2016,5:00:00,14.7,96.0,S/D,1.4,238,0.0
9/22/2016,6:00:00,14.9,95.2,S/D,0.6,252,0.7
9/22/2016,7:00:00,15.8,89.7,S/D,0.4,232,111.1
9/22/2016,8:00:00,16.5,87.8,S/D,1.3,242,655.8
9/22/2016,9:00:00,17.7,83.4,S/D,1.6,252,1484.3
9/22/2016,10:00:00,17.8,82.5,S/D,2.1,242,2322.3
9/22/2016,11:00:00,19.0,76.6,0.0,2.1,236,2784.8
9/22/2016,12:00:00,20.2,71.9,S/D,2.2,245,3118.5
9/22/2016,13:00:00,20.2,69.6,S/D,2.9,247,3126.4
9/22/2016,14:00:00,20.2,69.5,S/D,2.1,246,2937.5
9/22/2016,15:00:00,21.0,67.3,S/D,1.8,249,2463.6
9/22/2016,16:00:00,19.3,73.2,S/D,2.4,247,1755.2
9/22/2016,17:00:00,17.9,79.9,S/D,2.4,238,838.3
9/22/2016,18:00:00,16.4,87.5,S/D,1.5,248,168.1
9/22/2016,19:00:00,16.2,88.2,S/D,1.0,246,1.2
9/22/2016,20:00:00,16.2,89.5,S/D,1.2,237,0.0
9/22/2016,21:00:00,16.0,89.1,S/D,0.7,274,0.0
9/22/2016,22:00:00,16.4,87.1,S/D,0.4,238,0.0
9/22/2016,23:00:00,15.8,91.7,S/D,1.1,237,0.0
9/23/2016,0:00:00,15.7,91.6,S/D,0.8,237,0.0
