FECHA,HORA,TEMPERATURA MEDIA (°C),HUMEDAD RELATIVA (%),PRECIPITACION (mm),VELOCIDAD_VIENTO (m/s),DIRECCIÓN_VIENTO (°),RADIACIÓN SOLAR TOTAL (Wh/m²)
10/25/2016,12:00:00,18.8,69.8,0.0,2.6,282,1076.3
10/25/2016,13:00:00,20.4,64.4,0.0,1.9,236,2023.2
10/25/2016,14:00:00,21.3,60.9,0.0,2.8,277,3118.2
10/25/2016,15:00:00,21.3,64.7,0.0,3.4,196,2530.3
10/25/2016,16:00:00,18.9,74.2,0.0,3.6,207,1113.4
10/25/2016,17:00:00,18.1,78.2,0.0,2.8,200,277.1
10/25/2016,18:00:00,17.7,79.3,0.0,2.5,194,81.8
10/25/2016,19:00:00,17.6,76.8,0.0,2.1,204,0.9
10/25/2016,20:00:00,17.9,76.9,0.0,1.2,196,0.0
10/25/2016,21:00:00,17.8,77.0,0.0,1.2,216,0.0
10/25/2016,22:00:00,17.2,80.0,0.0,1.8,186,0.0
10/25/2016,23:00:00,16.8,81.6,0.0,1.6,213,0.0
10/26/2016,0:00:00,16.3,83.3,0.0,0.2,162,0.0
10/26/2016,1:00:00,16.3,82.6,0.0,0.4,97,0.0
10/26/2016,2:00:00,16.2,83.2,0.0,0.7,189,0.0
10/26/2016,3:00:00,16.5,83.4,0.0,1.1,168,0.0
10/26/2016,4:00:00,16.6,83.0,0.0,0.8,154,0.0
10/26/2016,5:00:00,16.7,82.3,0.0,1.0,83,0.0
10/26/2016,6:00:00,16.6,82.2,0.0,0.5,208,7.0
10/26/2016,7:00:00,17.0,84.8,0.0,1.0,191,101.5
10/26/2016,8:00:00,16.7,88.4,0.0,1.6,202,220.3
10/26/2016,9:00:00,16.9,86.7,0.0,1.9,218,396.3
10/26/2016,10:00:00,16.9,87.5,0.0,1.9,199,399.6
10/26/2016,11:00:00,17.1,83.5,0.0,2.3,210,591.7
10/26/2016,12:00:00,18.4,74.8,0.0,1.7,216,1030.2
10/26/2016,13:00:00,19.9,68.9,0.0,1.8,213,1606.3
10/26/2016,14:00:00,21.2,64.0,0.0,2.3,228,2596.6
10/26/2016,15:00:00,21.7,62.0,0.0,3.0,193,2404.6
10/26/2016,16:00:00,21.7,62.2,0.0,2.5,209,1677.6
10/26/2016,17:00:00,20.9,65.6,0.0,2.2,213,841.5
10/26/2016,18:00:00,19.1,73.2,0.0,2.6,193,210.4
10/26/2016,19:00:00,17.8,79.8,0.0,2.2,218,2.0
10/26/2016,20:00:00,17.5,81.9,0.0,1.8,207,0.0
