FECHA,HORA,TEMPERATURA MEDIA (°C),HUMEDAD RELATIVA (%),PRECIPITACION (mm),VELOCIDAD_VIENTO (m/s),DIRECCIÓN_VIENTO (°),RADIACIÓN SOLAR TOTAL (Wh/m²)
10/10/2010,10:00:00,16.0,92.0,0.0,0.0,230,S/D
10/10/2010,11:00:00,16.2,91.0,0.0,5.0,258,S/D
10/10/2010,12:00:00,16.5,89.0,0.0,5.7,240,S/D
10/10/2010,13:00:00,16.6,88.0,0.5,4.6,270,S/D
10/10/2010,14:00:00,16.8,86.0,0.0,4.8,264,S/D
10/10/2010,15:00:00,16.7,86.0,0.0,4.9,276,S/D
10/10/2010,16:00:00,17.1,84.0,0.0,5.2,260,S/D
10/10/2010,17:00:00,16.0,89.0,0.0,4.1,266,S/D
10/10/2010,18:00:00,14.3,97.0,0.0,2.3,259,S/D
10/10/2010,19:00:00,13.3,100.0,0.0,2.2,276,S/D
10/10/2010,20:00:00,12.4,100.0,0.0,1.0,263,S/D
10/10/2010,21:00:00,13.4,100.0,0.0,1.4,274,S/D
10/10/2010,22:00:00,14.1,100.0,0.0,0.0,277,S/D
10/10/2010,23:00:00,14.5,100.0,0.0,0.0,25,S/D
10/11/2010,0:00:00,14.5,100.0,0.0,1.5,296,S/D
10/11/2010,1:00:00,14.5,100.0,0.0,2.4,250,S/D
10/11/2010,2:00:00,14.1,100.0,0.0,3.1,255,S/D
10/11/2010,3:00:00,14.1,100.0,0.0,2.8,293,S/D
10/11/2010,4:00:00,13.7,100.0,0.0,2.7,257,S/D
10/11/2010,5:00:00,13.3,100.0,0.0,2.4,274,S/D
10/11/2010,6:00:00,13.2,100.0,0.0,2.3,279,S/D
10/11/2010,7:00:00,13.4,100.0,0.0,3.0,256,S/D
10/11/2010,8:00:00,14.2,100.0,0.0,2.4,252,S/D
10/11/2010,9:00:00,15.0,96.0,0.0,2.2,290,S/D
10/11/2010,10:00:00,16.3,89.0,0.0,2.7,242,S/D
10/11/2010,11:00:00,18.7,72.0,0.3,3.7,213,S/D
10/11/2010,12:00:00,19.8,65.0,0.0,5.5,254,S/D
10/11/2010,13:00:00,20.6,62.0,0.0,5.3,278,S/D
10/11/2010,14:00:00,20.4,66.0,0.0,6.5,289,S/D
10/11/2010,15:00:00,20.8,63.0,0.0,5.7,267,S/D
10/11/2010,16:00:00,20.6,62.0,0.0,3.5,262,S/D
10/11/2010,17:00:00,18.6,71.0,0.0,3.8,270,S/D
10/11/2010,18:00:00,16.0,81.0,0.0,3.4,301,S/D
10/11/2010,19:00:00,14.8,87.0,0.0,1.8,322,S/D
10/11/2010,20:00:00,14.4,89.0,0.0,2.0,329,S/D
